fact_id,source_id,fact_type,table,medicine,active_substance,dose,meat_withhold_days,page,page_method,line_start,line_end,drug_mentions
VTOP-MED-0125,SRC-0088,veterinary_medicine_table,Table A.4.,"Baycox 50 mg/ml Oral Suspension for Piglets, Calves and Lambs",50 mg toltrazuril/ml,0.4 ml/kg once orally,28,51,index,4113,4113,toltrazuril
VTOP-MED-0126,SRC-0088,veterinary_medicine_table,Table A.4.,Baytril Piglet Doser 0.5% Oral Solution,5 mg enrofloxacin/ml,1 ml once daily orally to piglets under 3 kg daily; 3 ml once daily orally to piglets between 3 and 10 kg,10,156,appendix_interpolated,4113,4113,enrofloxacin
VTOP-MED-0127,SRC-0088,veterinary_medicine_table,Table A.4.,Cevazuril 50 mg/ml Oral Suspension,50 mg toltrazuril/ml,0.4 ml/kg once orally,28,156,appendix_interpolated,4113,4113,toltrazuril
VTOP-MED-0128,SRC-0088,veterinary_medicine_table,Table A.4.,Coliscour Solution,2 MIU colistin/ml,0.25 ml/10 kg orally direct into the mouth or in drinking water,1,156,index,4113,4113,
VTOP-MED-0129,SRC-0088,veterinary_medicine_table,Table A.4.,Spectam Scour Halt,50 mg spectinomycin/ml,1 ml orally twice daily for 3-5 days for piglets under 4.5 kg (the dose should be doubled for heavier piglets),28,157,index,4113,4113,spectinomycin
VTOP-MED-0130,SRC-0088,veterinary_medicine_table,Table A.4.,Tratol 50 mg/ml Oral Suspension for Pigs,50 mg toltrazuril/ml,0.4 ml/kg orally once at 3-5 days of age,77,156,appendix_interpolated,4113,4113,toltrazuril
VTOP-MED-0131,SRC-0088,veterinary_medicine_table,Table A.6.,Bisolvon Injection,3 mg bromhexine/ml,7–17 ml/100 kg im daily,28,158,index,4124,4124,
VTOP-MED-0132,SRC-0088,veterinary_medicine_table,Table A.6.,Bisolvon Powder,10 mg bromohexine/g,2–5 g/100 kg in drinking water daily,0,158,index,4124,4124,
VTOP-MED-0133,SRC-0088,veterinary_medicine_table,Table A.7.,Anvit 4BC Injection,35 mg thiamin + 0.5 mg riboflavin + 7 mg pyridoxine + 23 mg nicotinamide + 70 mg ascorbic acid per ml,"5–10 ml im, iv or sc per pig daily",0,158,index,4134,4134,
VTOP-MED-0134,SRC-0088,veterinary_medicine_table,Table A.7.,Duphafral Multivitamin 9,"15,000 IU retinol + 25 μg cholecalciferol + 20 mg α-tocopheryl acetate + 10 mg thiamin + 5 mg riboflavin + 3 mg pyridoxine + 35 mg nicotinamide + 25 mg dexamthenol per ml",5–10 ml im or sc per pig; 2–5 ml per weaner,28,158,index,4134,4134,
VTOP-MED-0135,SRC-0088,veterinary_medicine_table,Table A.7.,Duphalyte,"A combination of B-complex vitamins, electrolytes, amino acids and dextrose",100 ml/50 kg iv for adults; 30 ml/5 kg for younger pigs (this may be followed up by sc injections),0,158,index,4134,4134,
VTOP-MED-0136,SRC-0088,veterinary_medicine_table,Table A.7.,Effyrdal Effervescent Tablet,2.34 g sodium chloride + 1.12 g potassium chloride + 6.72 g sodium bicarbonate + 3.84 g citric acid + 32.44 g lactose + 2.25 g glycine per tablet,"1 tablet in 1 litre of water, give ad lib to pigs",0,158,appendix_interpolated,4134,4134,
VTOP-MED-0137,SRC-0088,veterinary_medicine_table,Table A.7.,Forgastrin Oral Powder,73% attapulgite-27% bone charcoal,6–10 g thrice daily for pigs as a drench with a little water or in a little food; mix 10 g in 60 ml of water and give 5 ml daily to piglets,0,158,index,4134,4134,
VTOP-MED-0138,SRC-0088,veterinary_medicine_table,Table A.7.,Gleptosil Injection,200 mg gletoferron iron/ml,1 ml per piglet im once,0,158,index,4134,4134,iron
VTOP-MED-0139,SRC-0088,veterinary_medicine_table,Table A.7.,Intravit 12,0.5 g cyanobalanin/ml,0.5–1.5 ml im or sc per pig,0,158,index,4134,4134,
VTOP-MED-0140,SRC-0088,veterinary_medicine_table,Table A.7.,Lectade Powder for Oral Solution,Sachet A: 6.18 g glycine + 0.48 g citric acid + 0.12 g potassium citrate + 4.08 g potassium dihydrogen phosphate + 8.58 g sodium chloride. Sachet B: 44.61 g glucose,Add both sachets to 2 litres of water; solution should be readily available to young pigs,0,158,index,4134,4134,
VTOP-MED-0141,SRC-0088,veterinary_medicine_table,Table A.7.,Liquid Life-Aid,Concentrated aqueous solution for dilution with 11.5 times its own volume of water,200–300 ml per piglet orally per day; 1 litre per weaned pig daily,0,158,index,4134,4134,
VTOP-MED-0142,SRC-0088,veterinary_medicine_table,Table A.7.,Multivitamin Injection,"15,000 IU vitamin A + 25 μg vitamin D + 20 mg vitamin E + 10 mg vitamin B1+ 5 mg vitamin B2+ 3 mg vitamin B6+ 35 mg nicotinamide + 25 mg dexamthenol + 25 μg vitamin B12per ml","5–10 ml per adult (2 – 5 ml per weaner; 0.5–2 ml per piglet) im or sc, repeated in 10–14 days",28,158,index,4134,4134,
VTOP-MED-0143,SRC-0088,veterinary_medicine_table,Table A.7.,Vitesseel,68 mg α-tocopheryl acetate + 1.5 mg potassium selenate per ml,1 ml/25 kg im to piglets to be repeated in 2–4 weeks,0,158,appendix_interpolated,4134,4134,
VTOP-MED-0144,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Alstomec,10 mg ivermectins/ml,1 ml/33 kg sc,28,159,index,4140,4140,ivermectins
VTOP-MED-0145,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Animec Injection,10 mg ivermectins/ml,1 ml/33 kg sc,28,159,index,4140,4140,ivermectins
VTOP-MED-0146,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Dectomax 10 mg/ml Solution for Injection for Pigs,10 mg doramectin/ml,1 ml/33 kg im,56,78,index,4140,4140,doramectin
VTOP-MED-0147,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Flubenol 5% w/w Oral Powder for Pigs,50 mg flubendazole/g,1 g/10 kg in feed as a single dose,7,78,index,4140,4140,flubendazole
VTOP-MED-0148,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Ivomec Injection for Pigs,10 mg ivermectins/ml,1 ml/33 kg sc,19,159,index,4140,4140,ivermectins
VTOP-MED-0149,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Noromectin Multi Injection,10 mg ivermectins/ml,1 ml/33 kg sc,28,159,index,4140,4140,ivermectins
VTOP-MED-0150,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Panacur 1.5% Pellets,15 mg fenbendazole/g,5 g/15 kg in feed,3,159,appendix_interpolated,4140,4140,fenbendazole
VTOP-MED-0151,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,"Panomec Injection for Cattle, Sheep and Pigs",10 mg ivermectins/ml,1 ml/33 kg sc,19,159,index,4140,4140,ivermectins
VTOP-MED-0152,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Qualimec 10 mg/ml Solution for Injections,10 mg ivermectins/ml,1 ml/33 kg sc,28,56,index,4140,4140,ivermectins
VTOP-MED-0153,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,Solubenol 100 mg/g Oral Emulsion,100 mg flubendazole/g,1 g/100 kg daily in water for 5 days,4,78,index,4140,4140,flubendazole
VTOP-MED-0154,SRC-0088,veterinary_medicine_table,Table A.8 are very useful in smallholder and pet pigs.,"Virbamec Injectable Solution for Cattle, Swine and Sheep",10 mg ivermectins/ml,1 ml/33 kg sc,28,159,index,4140,4140,ivermectins
VTOP-MED-0155,SRC-0088,veterinary_medicine_table,Table A.9.,Altresyn,4 mg altrenogest/ml,5 ml to be given orally to gilts for 18 consecutive days,24,159,index,4154,4154,altrenogest
VTOP-MED-0156,SRC-0088,veterinary_medicine_table,Table A.9.,Cyclix Porcine,0.0875 mg cloprostenol sodium/ml,2 ml as a single injection per sow as a deep im injection,2,159,index,4154,4154,
VTOP-MED-0157,SRC-0088,veterinary_medicine_table,Table A.9.,Enzaprost,5 mg dinoprost/ml,2 ml per pig im,2,159,index,4154,4154,
VTOP-MED-0158,SRC-0088,veterinary_medicine_table,Table A.9.,Gestavet 600,400 IU serum gonadotrophin + 200 IU chorionic gonadotrophin per 5 ml dose,To be given as im injection,??,159,index,4154,4154,
VTOP-MED-0159,SRC-0088,veterinary_medicine_table,Table A.9.,Lethobarb,20% w/v pentobarbital sodium,0.7 ml/kg iv,Not to be used in animals intended for human and animal consumption,159,index,4154,4154,pentobarbital
VTOP-MED-0160,SRC-0088,veterinary_medicine_table,Table A.9.,Lutalyse 5 mg/ml Solution for Injection,5 mg dinoprost/ml,2 ml per sow im,1,160,appendix_interpolated,4154,4154,
VTOP-MED-0161,SRC-0088,veterinary_medicine_table,Table A.9.,Maprelin 75 μg/ml,75 μg perforelin/ml,0.5 ml per primiparous sow im; 2 ml per pluriparous sow im after weaning off the piglets; 2 ml per gilt 48 h after the termination of the medication for inhibition of the cycle,0,160,index,4158,4158,
VTOP-MED-0162,SRC-0088,veterinary_medicine_table,Table A.9.,Monzaldon 100 mg/ml Solution for Injection,100 mg vetrabutine hydrochloride/ml,2–4 ml per sow im as a single injection,28,160,appendix_interpolated,4158,4158,
VTOP-MED-0163,SRC-0088,veterinary_medicine_table,Table A.9.,Oxytocin-S Pentobarbital for Euthanasia 20% Solution for Injection,10 IU oxytocin/ml,0.2–1 ml im as a single dose,0,160,index,4158,4158,oxytocin; pentobarbital
VTOP-MED-0164,SRC-0088,veterinary_medicine_table,Table A.9.,PG 600,400 IU serum gonadotrophin + 200 IU chorionic gonadotrophin per 5 ml dose,To be given as im injection,0,160,index,4158,4158,
VTOP-MED-0165,SRC-0088,veterinary_medicine_table,Table A.9.,Planate,0.0875 mg cloprostenol sodium/ml,2 ml as a single injection per sow as a deep im injection,2,160,index,4158,4158,
VTOP-MED-0166,SRC-0088,veterinary_medicine_table,Table A.9.,PMSG-INTERVET 5000 IU Powder and Solvent for Solution for Injections,"5000 IU serum gonadotrophin (PMSG) supplied together with solvent, which when reconstituted gives a solution containing 200 IU PMSG/ml",5 ml to be given im or sc as a single injection per sow,0,160,index,4158,4158,
VTOP-MED-0167,SRC-0088,veterinary_medicine_table,Table A.9.,Prosolin Solution for Injection,7.5 mg luprostiol/ml,1 ml as a single injection per sow im,4,160,appendix_interpolated,4158,4158,
VTOP-MED-0168,SRC-0088,veterinary_medicine_table,Table A.9.,Receptal 0.004 mg/ml Solution for Injection,0.004 mg buserelen/ml,"2.5 ml per pig im or iv, with AI 30–33 h later",0,160,appendix_interpolated,4158,4158,
VTOP-MED-0169,SRC-0088,veterinary_medicine_table,Table A.9.,Regumate Porcine,0.4% w/v altrenogest,Gilts should be given 5 ml daily for 18 consecutive days orally; sows should be given 5 ml daily for 3 consecutive days,24,160,index,4158,4158,altrenogest
VTOP-MED-0170,SRC-0088,veterinary_medicine_table,Table A.9.,Reprocine,0.07 mg carbetocin/ml,1.5–3 ml per sow im or iv (can be repeated in 48 h),0,160,index,4158,4158,
VTOP-MED-0171,SRC-0088,veterinary_medicine_table,Table A.9.,Sterilised Water for Injection BP,,,0,160,index,4158,4158,
VTOP-MED-0172,SRC-0088,veterinary_medicine_table,Table A.9.,Stresnil 40 mg/ml Solution for Injection for Pigs,40 mg azaperone/ml,0.5–1 ml/20 kg im,10,50,index,4158,4158,azaperone
VTOP-MED-0173,SRC-0088,veterinary_medicine_table,Table A.9.,Virbagest 4 mg/ml Oral Solution for Pigs,4 mg altrenogest/ml,5 ml to be given orally to gilts for 18 consecutive days,24,160,appendix_interpolated,4158,4158,altrenogest
VTOP-MED-0174,SRC-0088,veterinary_medicine_table,Table A.9.,Water for Injection,,,0,26,index,4158,4158,
VTOP-MED-0175,SRC-0088,veterinary_medicine_table,Table A.10.,Buscopan Composition,4 mg butylsopolamine bromide + 500 mg metamizole per ml,1 ml/10 kg im (this product may have a use in treating bowel obstruction and blockage of the urethra or ureters),28,160,appendix_interpolated,4162,4162,
